symbol,time,open,high,low,close,tick_volume,spread,real_volume
XAUUSD,2024-12-24 02:15:00,2618.39,2618.5,2617.76,2618.3,168,9,0
XAUUSD,2024-12-24 02:20:00,2618.31,2618.43,2617.28,2617.83,226,9,0
XAUUSD,2024-12-24 02:25:00,2617.86,2618.67,2617.86,2618.28,126,10,0
XAUUSD,2024-12-24 02:30:00,2618.27,2619.22,2618.03,2618.82,261,8,0
XAUUSD,2024-12-24 02:35:00,2618.81,2619.81,2618.48,2619.41,250,6,0
XAUUSD,2024-12-24 02:40:00,2619.55,2619.89,2617.81,2617.81,257,8,0
XAUUSD,2024-12-24 02:45:00,2617.84,2618.0,2617.03,2617.24,306,7,0
XAUUSD,2024-12-24 02:50:00,2617.34,2618.19,2617.16,2617.32,298,7,0
XAUUSD,2024-12-24 02:55:00,2617.33,2617.49,2616.68,2616.89,278,8,0
XAUUSD,2024-12-24 03:00:00,2616.87,2617.92,2616.05,2617.03,292,8,0
XAUUSD,2024-12-24 03:05:00,2617.03,2617.03,2615.66,2616.48,331,6,0
XAUUSD,2024-12-24 03:10:00,2616.47,2617.16,2616.13,2616.78,260,6,0
XAUUSD,2024-12-24 03:15:00,2616.79,2616.95,2616.14,2616.9,187,8,0
XAUUSD,2024-12-24 03:20:00,2616.91,2617.64,2616.83,2617.48,244,9,0
XAUUSD,2024-12-24 03:25:00,2617.42,2617.75,2616.8,2616.81,193,8,0
XAUUSD,2024-12-24 03:30:00,2616.82,2617.46,2616.28,2617.31,166,8,0
XAUUSD,2024-12-24 03:35:00,2617.31,2617.9,2617.09,2617.34,139,9,0
XAUUSD,2024-12-24 03:40:00,2617.29,2617.7,2617.06,2617.53,143,8,0
XAUUSD,2024-12-24 03:45:00,2617.54,2617.58,2616.39,2616.76,183,8,0
XAUUSD,2024-12-24 03:50:00,2616.74,2618.03,2616.73,2618.02,133,4,0
XAUUSD,2024-12-24 03:55:00,2618.12,2618.71,2617.7,2618.71,185,7,0
XAUUSD,2024-12-24 04:00:00,2618.74,2619.5,2618.62,2618.81,248,8,0
XAUUSD,2024-12-24 04:05:00,2618.87,2619.52,2618.41,2619.02,230,9,0
XAUUSD,2024-12-24 04:10:00,2619.03,2619.28,2618.67,2618.67,171,9,0
XAUUSD,2024-12-24 04:15:00,2618.73,2619.5,2618.73,2619.05,157,9,0
XAUUSD,2024-12-24 04:20:00,2619.04,2619.68,2618.77,2618.87,156,9,0
XAUUSD,2024-12-24 04:25:00,2618.86,2618.89,2618.32,2618.61,184,9,0
XAUUSD,2024-12-24 04:30:00,2618.62,2618.88,2618.3,2618.67,141,9,0
XAUUSD,2024-12-24 04:35:00,2618.7,2619.41,2618.53,2619.1,150,9,0
XAUUSD,2024-12-24 04:40:00,2619.09,2619.63,2618.84,2619.51,104,9,0
XAUUSD,2024-12-24 04:45:00,2619.64,2619.92,2619.38,2619.53,149,10,0
XAUUSD,2024-12-24 04:50:00,2619.54,2620.39,2619.02,2619.19,197,9,0
XAUUSD,2024-12-24 04:55:00,2619.22,2620.33,2619.22,2620.2,180,9,0
XAUUSD,2024-12-24 05:00:00,2620.21,2621.38,2620.21,2621.04,178,9,0
XAUUSD,2024-12-24 05:05:00,2621.04,2621.18,2620.75,2620.91,172,9,0
XAUUSD,2024-12-24 05:10:00,2620.91,2621.42,2620.84,2621.32,158,9,0
XAUUSD,2024-12-24 05:15:00,2621.32,2621.38,2620.28,2620.44,93,9,0
XAUUSD,2024-12-24 05:20:00,2620.41,2620.64,2619.98,2620.25,133,9,0
XAUUSD,2024-12-24 05:25:00,2620.27,2620.27,2618.85,2618.95,133,10,0
XAUUSD,2024-12-24 05:30:00,2618.94,2619.83,2618.55,2619.41,340,9,0
XAUUSD,2024-12-24 05:35:00,2619.4,2619.5,2618.5,2619.28,271,9,0
XAUUSD,2024-12-24 05:40:00,2619.27,2620.16,2618.88,2619.66,257,10,0
XAUUSD,2024-12-24 05:45:00,2619.68,2620.79,2619.46,2620.12,271,9,0
XAUUSD,2024-12-24 05:50:00,2620.18,2620.58,2619.01,2619.73,258,5,0
XAUUSD,2024-12-24 05:55:00,2619.74,2619.77,2618.37,2619.25,240,5,0
XAUUSD,2024-12-24 06:00:00,2619.21,2619.38,2617.95,2618.03,309,6,0
XAUUSD,2024-12-24 06:05:00,2618.02,2619.02,2617.79,2618.58,303,8,0
XAUUSD,2024-12-24 06:10:00,2618.58,2618.93,2617.18,2617.72,295,4,0
XAUUSD,2024-12-24 06:15:00,2617.72,2617.84,2616.39,2617.32,336,9,0
XAUUSD,2024-12-24 06:20:00,2617.29,2617.76,2616.97,2617.42,260,10,0
XAUUSD,2024-12-24 06:25:00,2617.42,2618.45,2617.32,2617.55,205,3,0
XAUUSD,2024-12-24 06:30:00,2617.55,2617.89,2616.99,2617.78,218,9,0
